0,1,2,3,4,5
0,1467810369,Mon Apr 06 22:19:45 PDT 2009,NO_QUERY,_TheSpecialOne_,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D"
0,1467834817,Mon Apr 06 22:26:02 PDT 2009,NO_QUERY,djwayneski,@msdrama hey missed ya at the meeting  sup mama
0,1467839007,Mon Apr 06 22:27:08 PDT 2009,NO_QUERY,eyezup,@mercedesashley Damn! The grind is inspirational and saddening at the same time.  Don't want you to stop cuz I like what u do! Much love
0,1467857297,Mon Apr 06 22:31:56 PDT 2009,NO_QUERY,amanda5280,"Today I realized I am too good at hiding things, even I can't find it "
0,1467929915,Mon Apr 06 22:51:46 PDT 2009,NO_QUERY,zeegirl602,"My bathtub drain is fired: it haz 1 job 2 do, &amp; it iz FAIL. I got all Drano on its ass, &amp; iz STILL NOT DRAINING. I wanna shower, dangit!! "
0,1467972493,Mon Apr 06 23:03:43 PDT 2009,NO_QUERY,HeidiCortez,is at Beso in Hollywood... so tired 
0,1467998485,Mon Apr 06 23:11:14 PDT 2009,NO_QUERY,sexygrneyes,"@misstoriblack cool , i have no tweet apps  for my razr 2"
0,1468000014,Mon Apr 06 23:11:39 PDT 2009,NO_QUERY,purrtygurl717,Just got done watching the new House episode.Definitely one of the saddest episodes ever. 
0,1468006296,Mon Apr 06 23:13:27 PDT 2009,NO_QUERY,shroedernz,going thru town and traffic on bypass is stink 
0,1468013989,Mon Apr 06 23:15:47 PDT 2009,NO_QUERY,NikNaki08,i might break down and eat some buffalo wings tomorrow 
0,1468033194,Mon Apr 06 23:21:44 PDT 2009,NO_QUERY,tygerbaby,@stephenkruiser I'm so sorry to hear about your dog 
0,1468036579,Mon Apr 06 23:22:46 PDT 2009,NO_QUERY,ChelsiMarie,@mykele sayyyy whaaaa? I wasn't invited... 
0,1468085048,Mon Apr 06 23:37:52 PDT 2009,NO_QUERY,policano,@hutsoncap  everything alright?
0,1468087595,Mon Apr 06 23:38:42 PDT 2009,NO_QUERY,rstolan,@brendamew2 no art tomorrow.  and nice to see you've joined twitter!
0,1468094825,Mon Apr 06 23:41:05 PDT 2009,NO_QUERY,marie_660,"too cold and tired to write good twitter. everyone was obeying the cops tonight, total dissappointment. we were so close "
0,1468116300,Mon Apr 06 23:48:10 PDT 2009,NO_QUERY,djbabuforeal,zurich does not have smelly bags anymore 
0,1468131202,Mon Apr 06 23:53:10 PDT 2009,NO_QUERY,cementgaloshes,is tooooooooo cold. 
0,1468173029,Tue Apr 07 00:06:44 PDT 2009,NO_QUERY,ScottRhodie,@Warlach Curse ye!! Have fun at it. I miss doing online PR for Paramount Pics 
0,1468174531,Tue Apr 07 00:07:12 PDT 2009,NO_QUERY,mcsteph94,@dougiemcfly hey saw u guys play @ pushover..didn't get 2 meet u tho cuz of th HUGE line  i was very upset lol..a msg would make up 4 it!
0,1468223633,Tue Apr 07 00:23:34 PDT 2009,NO_QUERY,frkndork,No rain please 
0,1468229320,Tue Apr 07 00:25:33 PDT 2009,NO_QUERY,razlou,morning everyone!! still feeling poorly!   hope u all have a good day! x
0,1468233834,Tue Apr 07 00:27:05 PDT 2009,NO_QUERY,jennielees,"@josordoni yeah it was good news, a y combinator interview next week! dunno bout the oyster, will just suck it up I guess "
0,1468243620,Tue Apr 07 00:30:26 PDT 2009,NO_QUERY,philwade,I don't like these late start night shifts coupled with it being bloody light outside my window when I'm meant to be going to sleep 
0,1468245086,Tue Apr 07 00:30:56 PDT 2009,NO_QUERY,ahyng,Bored from doing homework  What is pingping doing?
0,1468267411,Tue Apr 07 00:38:37 PDT 2009,NO_QUERY,saragwin,@msJodiOdie its such a sad situation. Though 1-in-3 of us will be beaten. In US every 15 seconds &amp; 3 killed a day. It's sadly commonplace 
0,1468288564,Tue Apr 07 00:46:03 PDT 2009,NO_QUERY,in_wonderland,"I don't want to be cold in April, but I am "
0,1468299331,Tue Apr 07 00:49:53 PDT 2009,NO_QUERY,UnmistakableRFC,"@nick_carter Time for Warcraft yes, but for a simple game of a group of fans no  Just let us know if u figure it out, you want the prize?"
0,1468301308,Tue Apr 07 00:50:32 PDT 2009,NO_QUERY,ignati,@Kal_Penn most confusing hour of my life. 
0,1468301531,Tue Apr 07 00:50:37 PDT 2009,NO_QUERY,courtybourty,@islandnene83 well you didnt even consult me to see what my plans were. maybe they changed...and they did. so thanks.   
0,1468308294,Tue Apr 07 00:53:01 PDT 2009,NO_QUERY,briiiiiiian,"Worst dream ever, and not my usual nightmare either. The worst part is its probably gonna come true "
0,1468310350,Tue Apr 07 00:53:48 PDT 2009,NO_QUERY,tashhhhhhh,@dougiemcfly morning  i'm really upset  my rabbit ran away last night  and the postman woke me up early  reply? ilu x.
0,1468351264,Tue Apr 07 01:08:23 PDT 2009,NO_QUERY,chrsfrwll,A day negotiating wth insurers after spilling beer on my laptop last night.  Probably to no avail. 
0,1468375561,Tue Apr 07 01:17:14 PDT 2009,NO_QUERY,scialom1,"The sun is shining, gotta get to work "
0,1468390752,Tue Apr 07 01:22:47 PDT 2009,NO_QUERY,sotomi,@goulandris ?? ????????????? email ????? ?? provider! 
0,1468411887,Tue Apr 07 01:30:28 PDT 2009,NO_QUERY,LisaKeddie,"sitting at home, watching Jeremy Kyle and bored! "
0,1468420555,Tue Apr 07 01:33:42 PDT 2009,NO_QUERY,gavlp,@duskyazure least U got 2 lie in - I 've bn up way 2 long!! Mrs woke up at 6am this morning &amp; dragd me out of slumberlnd @ the same time 
0,1468431689,Tue Apr 07 01:37:46 PDT 2009,NO_QUERY,theorangegirl,i wish my new glasses weren't so expensive 
0,1468433231,Tue Apr 07 01:38:20 PDT 2009,NO_QUERY,Voneron,@Schofe That sounds like a great show! Shame I'm at work 
0,1468484103,Tue Apr 07 01:57:21 PDT 2009,NO_QUERY,myfunclub,Bah! Hairline fracture in the impellor hub  #titsuptuesday
0,1468503555,Tue Apr 07 02:04:12 PDT 2009,NO_QUERY,taitaisanchez,"@jetshun4 persons who read my twitter can't catch up for another week.  Can't talk about it here.  But yeah, saaaaad.  "
0,1468519716,Tue Apr 07 02:10:08 PDT 2009,NO_QUERY,thatdudenxtdoor,finally home now... so hungry and now one is home 
0,1468541955,Tue Apr 07 02:18:23 PDT 2009,NO_QUERY,angelsk,@overheardatmoo Wish I could have participated this time 
0,1468557855,Tue Apr 07 02:24:13 PDT 2009,NO_QUERY,karlkempobrien,Why does it take so long to go through one lecture which only took 52 mins to give?! and it's sunny outside. Someone is mocking me 
0,1468563166,Tue Apr 07 02:26:04 PDT 2009,NO_QUERY,milan_pandya,why do friends feast while you are on fast 
0,1468582414,Tue Apr 07 02:32:47 PDT 2009,NO_QUERY,MissNina,Why do most videos i play skip and jump 
0,1468599980,Tue Apr 07 02:39:11 PDT 2009,NO_QUERY,Meryl_F,@alexfoster  re cat. Prob have amazing effect on vet bills too?  Watch for changes in character of remaining cat-puss!
0,1468600978,Tue Apr 07 02:39:32 PDT 2009,NO_QUERY,DramaQueenx,Horrible Weather 
0,1468653662,Tue Apr 07 02:58:42 PDT 2009,NO_QUERY,loris_sl,"@gavlp yes, I hope these shocks are going to stop soon - I think I'm getting angry with Earth itself "
0,1468663184,Tue Apr 07 03:01:49 PDT 2009,NO_QUERY,jeremy_ellis,"@nickynocky Yeah its rubbish, think my bill just gone up as well, and you have to filter the crap water "
0,1468665735,Tue Apr 07 03:02:38 PDT 2009,NO_QUERY,Natalie_Waine,"wishing i was getting $900 for free, but noooo! Mr Rudd wants to play mean!!! "
0,1468674354,Tue Apr 07 03:05:36 PDT 2009,NO_QUERY,nomand,was playing around putting in random twitter usernames. so many wasted blanks! 
0,1468687112,Tue Apr 07 03:10:08 PDT 2009,NO_QUERY,PoppyBlack,crappy day so far.  whyyyyy?
0,1468703233,Tue Apr 07 03:15:41 PDT 2009,NO_QUERY,ninchy,"@alesa13 nothing new here, same old boring crap  but at least theres sunshine...and tequila!  whats new with u?? have fun :*"
0,1468748001,Tue Apr 07 03:31:06 PDT 2009,NO_QUERY,robschmob,"@JohnPeel haha yeah that is the most ad could manage!! this is hell were bloody brilliant, crowd turn out was pathertic though "
0,1468751436,Tue Apr 07 03:32:14 PDT 2009,NO_QUERY,jxriz,Tdy school was rly boring. 6:31pm I was hoping it'd be 3pm so I could use the lapt longer...  Time passes rl fast.
0,1468798212,Tue Apr 07 03:47:29 PDT 2009,NO_QUERY,Inked4Jesus,"Urrrr, I should be waking up right now instead I'm just going to bed  too much on the brain!"
0,1468819207,Tue Apr 07 03:54:06 PDT 2009,NO_QUERY,lazygiraffe,"@raspberry I am trying only to spend if I have paypal funds, which I don't right now.  Plus cat might need to go the vet again this week."
0,1468849935,Tue Apr 07 04:03:22 PDT 2009,NO_QUERY,morganwhore,and its done now i need to curl it omg i need someone to do this for me  then my make-up then get dressed then tidy up ... all befor one !
0,1468850528,Tue Apr 07 04:03:35 PDT 2009,NO_QUERY,laubow_,"@Rach_McCoyle : wicked, ill ring you after work &amp; we can arrange, i miss my best buddie  oh yes W&amp;C's all the way &lt;3"
0,1468850799,Tue Apr 07 04:03:41 PDT 2009,NO_QUERY,thedicebag,I'm not dead despite rumours to the contrary. New job means very little online time in the office 
0,1468927766,Tue Apr 07 04:26:44 PDT 2009,NO_QUERY,avahope07,@DonnieWahlberg I think you have the power to do something about doing a show in MTL.....don't loose us or you will loose us forever 
0,1468991578,Tue Apr 07 04:44:38 PDT 2009,NO_QUERY,glammakid,Having some lunch &amp; watching The Women with mother... throat hurts sooo bad! 
0,1469000523,Tue Apr 07 04:46:59 PDT 2009,NO_QUERY,robertosantos,"@chandarenee yo,yo.... hope your well, haven't seen ya'll in a minute "
0,1469025440,Tue Apr 07 04:53:33 PDT 2009,NO_QUERY,tricia_nicole,where did spring go?? 
0,1469062138,Tue Apr 07 05:02:49 PDT 2009,NO_QUERY,gabizil,Com mtoooo friooooo ! 
0,1469080256,Tue Apr 07 05:07:17 PDT 2009,NO_QUERY,iCarluccio,Did you hear about Sxephil's father..  So sad.. Poor PhilyD..
0,1469122547,Tue Apr 07 05:17:27 PDT 2009,NO_QUERY,Karithina,You know you work yourself too hard when you have to set free time for your self.  So I'm spending it here
0,1469126140,Tue Apr 07 05:18:19 PDT 2009,NO_QUERY,Nathaniel_James,bleh...didn't wake up on time to leave work early for the chiropractor 
0,1469212395,Tue Apr 07 05:37:38 PDT 2009,NO_QUERY,KatKiten,@PhilonBOB Good morning to all of you!!  Who won the birthday game?  Cannot get you on my radio at my desk 
